,label,coverage,annotated_coverage,overlaps,conflicts,correct,incorrect,precision
wib,{'ND'},0.021059248782021058,0.2980716253443526,0.017696055319817695,0.0027974225994027973,537,4,0.9926062846580407
bmkg,{'ND'},0.029954424013829955,0.27768595041322314,0.02982869715542983,0.011818324689611819,493,11,0.9781746031746031
lok,{'ND'},0.010561056105610561,0.16639118457300275,0.010529624391010529,0.00025145371680025143,302,0,1.0
mmi,{'ND'},0.010812509822410813,0.18787878787878787,0.010812509822410813,6.286342920006286e-05,341,0,1.0
dirasakan,{'ND'},0.011661166116611662,0.18732782369146006,0.01162973440201163,0.0004086122898004086,339,1,0.9970588235294118
laut,{'ND'},0.01603017444601603,0.12947658402203857,0.015841584158415842,0.007260726072607261,230,5,0.9787234042553191
berada,{'ND'},0.012384095552412384,0.1393939393939394,0.012352663837812352,0.0038975326104038976,248,5,0.9802371541501976
magnitud*,{'ND'},0.008580858085808581,0.09146005509641873,0.008580858085808581,0.0026088323118026086,164,2,0.9879518072289156
gempa,{'ND'},0.2457017130284457,0.40055096418732783,0.18981612446958981,0.16162187647336163,520,207,0.7152682255845942
tsunami,{'ND'},0.18745874587458747,0.07768595041322314,0.13977683482633976,0.12575829011472575,111,30,0.7872340425531915
angin,{'ND'},0.08763162030488764,0.03360881542699724,0.06902404526166903,0.061291843470061294,56,5,0.9180327868852459
hujan,{'ND'},0.06877259154486877,0.031955922865013774,0.06044318717586045,0.053528209963853525,42,16,0.7241379310344828
rumah,{'ND'},0.042998585572843,0.05509641873278237,0.0369008329404369,0.03316045890303316,79,21,0.79
pusat,{'ND'},0.013264183561213264,0.19118457300275482,0.013201320132013201,0.0019487663052019488,339,8,0.9769452449567724
untuk,{'NOT_ND'},0.04142699984284143,0.06666666666666667,0.03712085494263712,0.020304887631620305,106,15,0.8760330578512396
ada,{'NOT_ND'},0.14141128398554142,0.07052341597796143,0.13333333333333333,0.09102624548169103,112,16,0.875
itu,{'NOT_ND'},0.05403111739745403,0.06501377410468319,0.05076221907905076,0.03328618576143329,106,12,0.8983050847457628
saya,{'NOT_ND'},0.01206977840641207,0.04132231404958678,0.011252553826811253,0.005846298915605846,74,1,0.9866666666666667
kita,{'NOT_ND'},0.03240609775263241,0.03691460055096419,0.03114882916863115,0.01911048247681911,61,6,0.9104477611940298
ngga,{'NOT_ND'},0.008172245796008172,0.01487603305785124,0.007826496935407826,0.0038975326104038976,27,0,1.0
yang,{'NOT_ND'},0.12868143957252867,0.12231404958677686,0.12016344491592017,0.07477604903347478,165,57,0.7432432432432432
yg,{'NOT_ND'},0.11258840169731259,0.05564738292011019,0.10372465818010372,0.06566085179946567,92,9,0.9108910891089109
ini,{'NOT_ND'},0.13097595473833099,0.1118457300275482,0.11896903976111897,0.07157001414427157,157,46,0.7733990147783252
lagi,{'NOT_ND'},0.07993085022787993,0.022589531680440773,0.06754675467546754,0.04111268269684111,39,2,0.9512195121951219
dari,{'NOT_ND'},0.07216721672167217,0.07272727272727272,0.06685525695426686,0.042684268426842684,100,32,0.7575757575757576
bencana,{'NOT_ND'},0.05975168945465975,0.04132231404958678,0.055948451988055946,0.041772748703441775,47,28,0.6266666666666667
aku,{'NOT_ND'},0.05981455288385981,0.0209366391184573,0.0539053905390539,0.036083608360836086,38,0,1.0
aja,{'NOT_ND'},0.055571271412855575,0.025895316804407712,0.05157944365865158,0.026622662266226622,47,0,1.0
hari,{'NOT_ND'},0.047744774477447745,0.029201101928374655,0.045293100738645294,0.02615118654722615,42,11,0.7924528301886793
semoga,{'NOT_ND'},0.050887945937450885,0.015977961432506887,0.04617318874744617,0.026214049976426214,24,5,0.8275862068965517
tapi,{'NOT_ND'},0.04862486248624862,0.02975206611570248,0.04501021530724501,0.028602860286028604,50,4,0.9259259259259259
udah,{'NOT_ND'},0.04985069935564985,0.015426997245179064,0.04607889360364608,0.02197076850542197,27,1,0.9642857142857143
kalo,{'NOT_ND'},0.04670752789564671,0.02203856749311295,0.04315574414584315,0.02454816910262455,39,1,0.975
banget,{'NOT_ND'},0.04626748389124627,0.005509641873278237,0.04123840955524124,0.02483105453402483,9,1,0.9
apa,{'NOT_ND'},0.04164702184504165,0.02809917355371901,0.039383938393839385,0.02498821310702499,49,2,0.9607843137254902
allah,{'NOT_ND'},0.039415370108439415,0.014325068870523415,0.0352035203520352,0.02344805909162345,21,5,0.8076923076923077
sama,{'NOT_ND'},0.03730944523023731,0.021487603305785124,0.03498349834983498,0.020336319346220336,37,2,0.9487179487179487
mana,{'NOT_ND'},0.031085965739431086,0.008264462809917356,0.025962596259625964,0.015527267012415528,15,0,1.0
gak,{'NOT_ND'},0.05076221907905076,0.015977961432506887,0.04692754989784693,0.031714600031431714,26,3,0.896551724137931
total,"{'NOT_ND', 'ND'}",0.8424328147100424,0.8429752066115702,0.5822410812509823,0.36976269055476974,5311,574,0.902463891248938
