,Date,User,Tweet
0,2023-02-27 08:51:51+00:00,atcumuchan,akhirny naik gojek w malas banjir banjiran
1,2023-02-27 08:49:05+00:00,dargut10,Banjir luar dalam
2,2023-02-27 08:48:23+00:00,tennisieee,bismillah banjir congrats
3,2023-02-27 08:44:33+00:00,chezeechoco,huaa naek kreta ekonomi berjamjam super tegak + penuh trus pagi2 kena banjir gabawa sendal:) + susah dapet ojol + macet juga trus ke kantor kaya udah gaada tenaga gabisa mikir!?!?
4,2023-02-27 08:44:12+00:00,gabriccia1,"kata teman uwe,
hari ini di laman jual beli O EL EX tetiba banyak motor hurley dapitson dijual ...
gegara Bu Bond marah kah ?
akankah diikuti dengan banjir jualan sepeda bronxtomp jugak ?"
5,2023-02-27 08:43:22+00:00,ursugarcandyyy,dingin banget euy abis menerjang banjir
6,2023-02-27 08:42:38+00:00,avellino_a,"Berjuang melawan banjir itu mbok ya jangan setengah2.
Mentang2 banjir tidak menyerang setiap hari. 🤷‍♂️
Ibarat nya berjuang, ya sampe titik banjir penghabisan !"
7,2023-02-27 08:42:36+00:00,Gisellespa30,Mo beli makeup pas 3.3 shopee tapi takut nyampenya lama padahal butuh buat wisuda tgl 8. Apalagi skrng musim hujan takut banjir dimana mana
8,2023-02-27 08:39:33+00:00,spikypotato,"Semenjak duduk rumah ni lebih kerap layan RTM berbanding YouTube kat TV. Duk rotate TV1 - TV2 - Okey - TV6. 

Iklan bangnon, menteri KKD, lagu patriotik, PSA banjir, Siti jadi weatherwoman, HFMD, MyGCC azlan &amp; the typewriter, berita palsu, etc etc boleh kata semua dah tengok lmao"
9,2023-02-27 08:37:35+00:00,Deni_DN,"assalamualikum Bu haji @cellicaNurrach ,rupi na sae na mah upami Atos surut banjir na di Karawang, dikerukan wae Bu gorong2 sungai2 anu Aya di Karawang. insya Allah pak haji @ridwankamil ngadukung Bu.
hawatos kanu sanes nembe ge ngiridit tv,kulkas,megic com Tos kabanjiran. nuhun"
10,2023-02-27 08:34:58+00:00,ryandioandika,Liat jalanan dimana-mana banjir teh jadi pengen beli jetski
11,2023-02-27 08:34:41+00:00,xhalloweengurll,semoga pas TDS 2 dari DAY 1-3 cuaca cerah dan ga banjir yaa
12,2023-02-27 08:34:39+00:00,yourenbow,"Ternyata udah satu tahun ya pasca rumah keluarga kebanjiran dan doll ku berenang bebas kesana kemari 🤣 yang lain sibuk ngamanin barang berharga, ibu dan keluargaku sibuk ngamanin barang-barang kpopku karena takut aku ngambek kalo sampe rusak gara-gara banjir 😭"
13,2023-02-27 08:32:45+00:00,Cayangkuuuu,naik lagi banjir cokkk
14,2023-02-27 08:29:28+00:00,adaapazi,hari ini banjir dari rmh ampe kampus cuyy gils brngkt gmn
