,Date,User,Tweet
0,2023-02-26 10:42:24+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
1,2023-02-26 10:12:28+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
2,2023-02-26 08:12:27+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
3,2023-02-26 07:42:25+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
4,2023-02-26 06:42:24+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
5,2023-02-25 23:42:24+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
6,2023-02-25 23:12:33+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
7,2023-02-25 02:26:57+00:00,MatchaLee03,"Aku ngimpi gunung sindoro erupsi gede pas aku lagi main diatas😭😭
Takuy bgt bangun2 ditelpon laboran trus aku langsung ngecek berita😭"
8,2023-02-25 00:52:29+00:00,JaehyungieSmile,Min beredar kabar gunung sinabung bakal erupsi minggu malam. Benar tidak beritanya min? @id_magma
9,2023-02-24 08:21:14+00:00,savanisme,JANGAN ERUPSI please! kasian orang-orang mau naik gunung terganggu! 💖
10,2023-02-24 06:59:54+00:00,seoulllost,mimpi merapi erupsi... serem :(
11,2023-02-24 02:20:22+00:00,diskarezaa,feeling gue kalo semeru erupsi jembatan kaca bromo retak
12,2023-02-21 15:12:25+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
13,2023-02-21 14:42:23+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
14,2023-02-21 12:42:26+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
15,2023-02-21 12:12:30+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
16,2023-02-21 11:12:35+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
17,2023-02-21 04:12:28+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
18,2023-02-21 03:42:21+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
19,2023-02-18 07:33:51+00:00,fullsunthusias,"Tidur siang mimpinya horor banget, masa mimpi gunung erupsi trus laharnya turun cepet bgt. Abu vulkaniknya parah, sampe bisa bikin orang sakit mata. Naudzubillahimindzalik"
20,2023-02-17 14:17:31+00:00,__ursweetiepie,Gigi bungsu erupsi sakit bgt 😑
21,2023-02-16 19:42:22+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
22,2023-02-16 19:12:23+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
23,2023-02-16 17:12:33+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
24,2023-02-16 16:42:21+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
25,2023-02-16 15:49:27+00:00,increggdible,"jadi penhen cerita podcast horror yang gue dengerin, ada yg epic bgt tuh yang dia manggung di merapi, konon katanya desanya itu kesapu pas merapi erupsi dan ada yang menikah gitu disana trs mereka semua men1ngg4l."
26,2023-02-16 15:42:22+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
27,2023-02-16 13:11:18+00:00,alinellas,"Iseng cari erupsi kelud nggk nyangka udah 9 tahun lalu, inget bgt waktu itu masih kelas 8 smp, hari jumat pagi tetep berangkat sekolah sampe sekolah debu makin tebel akhirnya dipulangkan. Jaman masih ada crush😭 inget bgt gue meromantisasi keadaan berdebu sambil dibalkon sekolah"
28,2023-02-16 11:46:56+00:00,SaryantoBudiman,"Kerinci, beberapa kali erupsi.

Cek Magma Indonesia di telegram"
29,2023-02-16 08:42:18+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
30,2023-02-16 08:12:24+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
31,2023-02-15 23:56:14+00:00,adhiyanblog,"Pagiii boss. Erupsi Semeru tahun 2021 memang sangat mengejutkan. Berbeda dengan erupsi2 sebelumnya, erupsi kali ini telah merobohkan jembatan lawas era Belanda dan jembatan baru era reformasi."
32,2023-02-15 15:57:07+00:00,liranti,Gunung Kerinci Sumatera Barat sama Gunung Karangetang(?) Sulawesi Utara lagi erupsi ya :/
33,2023-02-15 08:44:31+00:00,alessayiaz,ga usah so famous cuma gara gara spes problematik yg isinya erupsi fakta
34,2023-02-15 04:13:05+00:00,Chrisst_saputra,"Kmrin lampu padam 1×24 jam, badai, banjir akibat erupsi gunung, yg membuat sya heran akun medsos pemda malah posting happy valentine, emang pemda di negara konoha kocak 🫣"
35,2023-02-15 03:03:44+00:00,BVOICE_RADIO,"Pada hari Selasa, gunung Semeru kembali erupsi dengan letusan mencapai 4476 meter diatas permukaan laut. Warga dihimbau tidak melakukan aktivitas dalam radius 5Km dari kawah puncak gunung Semeru. Serem banget ya, Blistener!😰 #MorningVoice"
36,2023-02-14 14:18:19+00:00,Kediri_Tatas,"14 Februari ?
Apa itu Valentine day
Wong Kediri memperingati 9 Tahun Erupsi Gunung Kelud lah."
37,2023-02-14 12:44:53+00:00,Mas_Ar27,9 tahun milad erupsi gunung kelud
38,2023-02-14 11:35:19+00:00,ghea_anjanii,"Bawaan kurang fokus pdhl masih jam 9 pagi. Niat bertanya kpd siswa ""Siapa yg presentasi minggu ini? Erupsi gunungapi? El Nino &amp; La Nina?""

Yg keluar dari mulut :
""Gn.berapi udh meletus belum?""

Yg ngeh siswa dg posisi duduk paling depan berhadapan dg aku.

""Ha? Apa buk?"" Kaget."
39,2023-02-14 11:22:03+00:00,reythv,"—14 Februari 2014

Erupsi kelud"
40,2023-02-14 10:46:49+00:00,tyufav,"wow tepat 9 tahun lalu jogja kena erupsi gunung kelud, hujan salju, gak sekolah seminggu 😂"
41,2023-02-14 09:05:24+00:00,AryaBagas28,"14 februari 2014 valentine pas aku kelas 5 sd ngungsi erupsi gunung meletus ,wes pisan ikutok ae gak maneh gusti"
42,2023-02-14 07:13:21+00:00,IIsllmy,"14 Februari
-Hari lahir KH. Hasyim Asy'ari
-Jogja hujan abu dampak erupsi Gunung Kelud 2014"
43,2023-02-14 04:30:44+00:00,ndrypd,9 tahun erupsi Kelud
44,2023-02-14 03:19:59+00:00,jehaes_,9 tahun erupsi gunung Kelud
45,2023-02-14 01:45:17+00:00,Adwayadwaja07,"14 Februari, kami mengingatnya sebagai peristiwa Erupsi Kelud 14/2/14 sudah 9 tahun berlalu...tanggal 14 dinihari tiba2 gelegar letusan terdengar...selalu waspada dan kenali alam sekitar"
46,2023-02-14 01:42:18+00:00,jhoyowincityxx,"9 tahun yang lalu
Erupsi kelud, baru ngalamin erupsi gunung meletus, hujan kerikil, hujan pasir
Alhamdulillah masi diberi keselamatan"
47,2023-02-14 00:56:00+00:00,taufanpn_,"Biasane setiap 14 februari Kediri dan sekitarnya merayakan erupsi gunung kelud , tapi kok jek sepi mosok wes lali kabeh ."
48,2023-02-14 00:43:17+00:00,thisisknia,"Valentine day apaan, org Kediri dan sekitarnya cuma inget erupsi kelud"
49,2023-02-13 17:18:27+00:00,maxxxss_,9 Tahun Erupsi Gn. Kelud
50,2023-02-13 16:36:35+00:00,Askrlfess,"[Askrl] BOOL GUA PEDES BGT ANJRITTT KEK PANAS GITU BOOL GUA UDAH KEK MAU ERUPSI, TLONGGG INI BOOL GUA KNP MISKAHH"
51,2023-02-13 13:44:17+00:00,lirayofsun,ternyata udah 9 tahun sejak kelud erupsi
52,2023-02-12 21:38:20+00:00,PenggunaPergi,kalo kita erupsi kita mengembalikan ruang dan waktu ke alam 🫠
53,2023-02-12 12:16:18+00:00,BaseAnakFK,"Dok! Malam kakak-kakak FKG! i want to ask you a question, kalo dental bone spurs post ekstrasi gigi, itu nanti bone spursnya erupsi/hilang sendiri atau perlu tindakan ya? please enlighten me, tysm! &lt;3"
54,2023-02-12 00:12:27+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
55,2023-02-11 23:42:20+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
56,2023-02-11 21:42:19+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
57,2023-02-11 21:12:22+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
58,2023-02-11 20:12:20+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
59,2023-02-11 18:15:00+00:00,jembermfs,"baru2 ini kan semeru habis erupsi tuh, ke ranu regulo aman ga ya? /jbrfess/"
60,2023-02-11 13:12:27+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
61,2023-02-11 12:42:19+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
62,2023-02-11 03:07:41+00:00,_AnakIPS,"Tipe erupsi gunung api berdasarkan kekuatannya : Efusif (lelehan), Eksplosif (letusan) dan campuran keduanya"
63,2023-02-10 09:40:52+00:00,rcrizki_,aku uda lama vakum dari dunia tengkar tengkar gini.. tapi barusan sedikit erupsi😁 bakal meledak gak ya?
64,2023-02-10 00:56:38+00:00,adalgisomacario,Aku kok mimpi ono gunung sik erupsi gede ya🙃
65,2023-02-09 14:22:35+00:00,Maswek4,"Beberapa hari terakhir terlihat Merapi diatas nya terdapat lentucular (awan kapal),kemudian bersamaan/tak lama beberapa gunung berapi lain aktifitasnya lebih tinggi ,bahkan erupsi ,Ono hubungane Ra sih? Kadang bertanya tanya"
66,2023-02-08 06:44:37+00:00,skjieu,merapi jan erupsi dulu gw baru mau skripsian
67,2023-02-08 06:36:58+00:00,satekeyong,"1st day erupsi dihiasi dengan seller tolilah yang salah kirim produk. Jelas2 sebelum dikirim udah dichat, detail orderannya apa aja. Yang dikirim melengse semua astaghfirullah pengen ku report aja tuuuuu mana dikomplain ga diread padahal online. Udah nunggu sejam ga diread juga🤯"
68,2023-02-08 05:57:48+00:00,tjeskiesss,Hari ini Magelang hujannya serem banget. Katanya kalo hujannya serem gini gara2 Merapi erupsi. Dan ternyata emang Merapi tadi pagi Erupsi. Boyolali katanya hujan abu tadi
69,2023-02-08 02:18:57+00:00,flafia_,"Mimpi gunung krakatau erupsi sampe rumah,, lihat 3 matahari, 2 matahari tenggelam ke arah timur satunya ke arah barat
Smoga kita slamat dunia akhirat yh teman2"
70,2023-02-07 16:49:34+00:00,alize_jetblack,"Nyalahin panitia ga bakal sampe kek gini kalo kmrn acaranya ga drama gede. Abis pre eventnya aja udah kecium bgt ga pro nya.
Ekspektasi dan kepercayaan orang udah rendah BANGET sejak September kemaren, dan sekarang kek gini? Ya wajar aja semua erupsi kek Pompeii spouting lava."
71,2023-02-07 15:38:54+00:00,mwffyaa,Lagi erupsi
72,2023-02-07 14:45:52+00:00,schfess,"SchApp! Sender dikasih tugas geografi tebak2an gitu, ""batuan besar yang keluar saat terjadinya erupsi"" 3 huruf awalannya B. Kira2 apa yaa? 
Terimakasih!"
73,2023-02-07 06:49:01+00:00,RuledbyAsteria2,"Bulan April-Juni akan ada Gunung Api yg mungkin erupsi lumayan besar. Puncaknya nanti di Juli. Kalau ini Kraka*au, kemungkinan akan melibatkan air karena di akhir Juli sampai awal Agustus ada kemungkinan peristiwa air besar terjadi. Ini pertama kali sejak 2020 ada kombinasi ini."
74,2023-02-07 05:43:58+00:00,Battercuppp,Mendapatkan erupsi fakta kalo ternyata sjk brengsecc
75,2023-02-07 04:42:20+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
76,2023-02-07 04:12:27+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
77,2023-02-07 02:12:27+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
78,2023-02-07 01:42:22+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
79,2023-02-07 00:42:18+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
80,2023-02-06 17:42:20+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
81,2023-02-06 17:12:29+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
82,2023-02-06 15:34:55+00:00,rockstarbilld,"gempa, erupsi, banjir, emang sekarang mah yang kudu dibenerin akhlak lu yang minus"
83,2023-02-06 12:23:01+00:00,cels_lil_bro,"Udah janjian telponan sama orang, pas jamnya malah males ngomong gara-gara erupsi gigi bungsu"
84,2023-02-06 11:37:37+00:00,March2023Bigwin,Gunung Semeru erupsi
85,2023-02-06 09:41:56+00:00,gibranleklok,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Sem #AHYPimpinPerubahan
86,2023-02-06 09:30:22+00:00,r66newlitics,"Selamat hari Senin Newtizen semuanya! Biar nggak ketinggalan soal apa aja yang terjadi selama sepekan ini, janlup baca Thread ini ya! 

#R66Newlitics 
#R66Media 
#Kilasepekan
#Jakpro #JIS #GunungSemeru #Erupsi #DiabetesAnak #Insiden #MasjidAlJabbar #Imigrasi #Paspor"
87,2023-02-06 07:11:58+00:00,gibranleklok,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru #AHYPimpinPerubahan
88,2023-02-06 06:41:54+00:00,gibranleklok,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru #AHYPimpinPerubahan
89,2023-02-06 05:41:54+00:00,gibranleklok,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru #AHYPimpinPerubahan
90,2023-02-05 22:11:55+00:00,gibranleklok,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru #AHYPimpinPerubahan
91,2023-02-05 14:43:27+00:00,tadghmunich,Weh mahameru erupsi kah
92,2023-02-05 14:21:22+00:00,anemesis50,Semeru Erupsi 😭
93,2023-02-05 14:02:45+00:00,melinseu,Jalanan Cikembar - Pangles sukabumi edannnnnn udah kaya ngelewatin wilayah bencana kena erupsi gunung berapi...
94,2023-02-05 12:32:47+00:00,aman_ndaaaa,"Semeru erupsi lagi, pasti dia lagi cemaskan orang itu"
95,2023-02-05 11:53:56+00:00,TRCC1_,Semeru erupsi
96,2023-02-05 11:25:41+00:00,Toleable,"Gn. Semeru erupsi? 
#semeru #staysafe"
97,2023-02-05 10:03:17+00:00,ulfaltfn,Lagi hobi pantau live cctv gunung. Hari ini Semeru erupsi 🥺🥲
98,2023-02-05 07:19:43+00:00,PelangiPuisi,"di mataku ...
lembar-lembar cerita telah kurangkum rapi 
kusimak nada dan emosinya
bak erupsi yang kucekal ledakannya
jadi ...
untuk apa mendung menandai kegelisahan
aku sudah pandai mengembala

~@Ziah190977"
99,2023-02-05 06:51:28+00:00,Ziah190977,"di mataku...
lembar-lembar cerita telah kurangkum rapi 
kusimak nada dan emosinya
bak erupsi yang kucekal ledakannya
jadi...
untuk apa mendung menandai kegelisahan
aku sudah pandai mengembala 

#sajakIDenT
@PelangiPuisi"
100,2023-02-05 05:49:20+00:00,info_semeru,"Di mohon waspada, erupsi APG masih berlangsung"
101,2023-02-05 00:54:23+00:00,nyonyakoala,"Otw 9 gigi nih Canum, 3 gigi erupsi barengan. Demam engga, maceuh iya 😑"
102,2023-02-04 11:20:09+00:00,theylovejungwon,emang paling ga kuat denger sirine😭 dasarnya trauma sama suaranya trs langsung keinget gunung erupsi T^T
103,2023-02-04 11:13:46+00:00,theylovejungwon,"yaallah jantung hampir copot gara-gara ada sirine bunyi, syok banget gilakkk langsung lari keluar rumah ngeliat gunung (fyi trauma waktu gunung nya erupsi dulu) ternyata sirine nya konslet hhshajsjskw 🙏🏻"
104,2023-02-04 10:18:11+00:00,wh0osm,"temen gua ampe pingsan gara"" abu gunung erupsi"
105,2023-02-03 02:38:00+00:00,librmals,"Udh 5 hari air PAM gak hidup, apa jangan2 sumber mata air gunung kering gegara erupsi yaa? 
Musowoo mudah2an si ga yaaa"
106,2023-02-02 18:35:04+00:00,WikiDPR2,"#Kom7 Kadir @FraksiPKB #Jateng6: Akibat dari penambangan liar ini rusaknya ekosistem yang ada di sana, wilayah ini pertambangan daerah konservasi Gunung Merapi. Rusaknya jalan infrastruktur, kalau Gunung Merapi erupsi maka ada evakuasi. Ini harus mendapatkan perhatian."
107,2023-02-02 14:13:24+00:00,nabilisasi,"gamau love bombing lg tp maunya love nuklir, love erupsi gunung merapi, love meteor, love matahari meledak"
108,2023-02-02 09:12:26+00:00,dwikiprazz,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Semeru.
109,2023-02-02 08:42:20+00:00,dwikiprazz,AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi
110,2023-02-02 06:42:19+00:00,dwikiprazz,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru
111,2023-02-02 06:12:29+00:00,dwikiprazz,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru
112,2023-02-02 05:12:32+00:00,dwikiprazz,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru
113,2023-02-02 05:05:51+00:00,simple_hum,Apakah Krakatau masih erupsi?
114,2023-02-01 22:12:22+00:00,dwikiprazz,#PartaiDemokrat: Untuk bantuan ketiga ini dihimpun melalui posko #DemokratPeduliDanBerbagi utk disalurkan ke pengungsi erupsi Gunung Semeru
115,2023-02-01 21:42:17+00:00,dwikiprazz,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru
116,2023-02-01 15:36:02+00:00,FathiaTungga,"2 hari ini emosi meletus letus, macam erupsi gunung api lagi batuk batuk"
117,2023-02-01 14:12:01+00:00,gibranleklok,AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Sem #AHYPimpinPerubahan
118,2023-02-01 13:25:33+00:00,xyociochi,"""kak cariin referensi erupsi gunung merapi di internet"" YANG BENER AJA LO ADEK KAMPRETTT 😭😭 gw mager, gw lagi bingung mau sedih atau bahagia, ini ditambah lagii. makin stress gw 😭😭😭😭"
119,2023-02-01 11:41:54+00:00,gibranleklok,Demokrat Bergerak Ringankan Beban Masyarakat Terdampak Erupsi Gunung Semeru #AHYPimpinPerubahan
120,2023-02-01 11:12:02+00:00,gibranleklok,Demokrat Kirim Tim Medis Bantu Korban Erupsi Semeru #AHYPimpinPerubahan
121,2023-02-01 10:20:00+00:00,azura_men,"Prabowo Subianto melakukan sejumlah agenda. Yakni, pemberian bantuan ke pengungsi erupsi Gunung Semeru, meninjau pembuatan senjata pertahanan, dan pemberian paket bantuan sembako ke warga Turen.
#IdolaEmakEmak 
#BangkitBersama"
122,2023-02-01 10:11:59+00:00,gibranleklok,DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru #AHYPimpinPerubahan
123,2023-02-01 02:42:08+00:00,gibranleklok,DPC #PartaiDemokrat Kota Surabaya menyalurkan bantuan untuk pengungsi erupsi Gunung SEmeru #AHYPimpinPerubahan
124,2023-01-31 16:21:35+00:00,Garieeln,ngebayangin lagi di puncak gunung terus gunung nya erupsi
125,2023-01-31 06:58:46+00:00,itsdaysiy,fyi mt anak krakatau masih erupsi sampe sekarang
126,2023-01-30 21:09:27+00:00,RRIPro1Ternate,"#LintasInformasi :
- Presiden Minta Menteri Waspadai Inflasi Harga Barang
- Gunung Ibu di Halmahera Barat Kembali Erupsi"
127,2023-01-30 11:39:27+00:00,bedeweendebaswe,"(2) Prabowo Subianto melakukan sejumlah agenda. Yakni, pemberian bantuan ke pengungsi erupsi Gunung Semeru, meninjau pembuatan senjata pertahanan, dan pemberian paket bantuan sembako ke warga Turen.
#IdolaEmakEmak 
#BangkitBersama"
128,2023-01-30 09:07:38+00:00,_AnakIPS,"Tipe erupsi gunung api berdasarkan kekuatannya : Efusif (lelehan), Eksplosif (letusan) dan campuran keduanya"
129,2023-01-30 09:05:51+00:00,kajumski,"krakatau erupsi, biasanya ya, biasanya statistik bukan cocoklogi, gunung di jawal bakalnada yg erupsi juga"
