,Date,User,Tweet
0,2023-02-27 08:03:39+00:00,TuitMakassar,"Selain Banjir Bandang, Tanah Longsor Juga Terjadi di Desa Cemba Enrekang"
1,2023-02-27 07:42:09+00:00,KediriFess,cah kalo mau ke batu jalane longsor trs aksese ditutup ta? aku ada rencana mau kesana soale
2,2023-02-27 07:20:09+00:00,Poccaryy,"""Tuh makanya kalo disuruh pantrangan tuh nurut."" Kata ibu, gara-gara aji lagi pusing nanti bawa rombongan besan lewat mana soalnya jalannya tiba-tiba longsor terus ditutup"
3,2023-02-27 06:44:37+00:00,ariusrid,Imbas jalan longsor dan ditutup kek nya usaha ikutan libur ampe jalur nya bisa dilewatin lagi wkwk
4,2023-02-27 06:28:29+00:00,HendroW1977,longsor..longsor..dimana2
5,2023-02-27 04:22:13+00:00,biruhorizon,"Jalan nasional Bogor-Sukabumi di Cikereteg longsor dan udah separuh jalan. Ini gimana dah penanganannya? Dari awal longsor lho itu cuma ditutupin seng doang. Alternatif satu satunya cuma Cijeruk tembus stasiun Batu Tulis. Gila gila gila, gak abis pikir gue"
6,2023-02-27 04:03:02+00:00,Lekday,"Rute audax 400 terberat adalah km 280-290 

koordinasi tengah malam untuk merujuk 3 peserta yang mengalami crash. gelap, jalan longsor dan hujan deras menambah tantangan tersendiri bagi peserta.

POC tidak dapat sinyal dan HP juga tanpa sinyal karena berada di Blank Area."
7,2023-02-27 03:12:24+00:00,BpbdTrenggalek,"*PUSDALOPS BPBD KAB. TRENGGALEK*
*PROV.  JAWA TIMUR*
Jenis Kejadian : Tanah Longsor 
Senin, 27 Februari 2023 pkl. 03.45 WIB
Lokasi : RT. 17 RW. 04 Dsn. Gejakan Ds. Pringapus Kec. Dongko
@mna_______ 
@BanoesTriadi 
@prokopim_tgalek 
@kominfo_tgalek 
@bpbd_jatim 
@BNPB_Indonesia"
8,2023-02-27 03:01:57+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
9,2023-02-27 01:57:22+00:00,lanhudiee,"4 hari hujan nonstop (meski intensitasnya naik turun), longsor, deh"
10,2023-02-27 00:47:52+00:00,xhxhxna,"Cikereteg asss, pemerintah kab bogor ga bertindak apa yah? Longsor di jalan utama, eh tuh truk masih aja dibolehin jalan tambah macet woi"
11,2023-02-26 23:57:11+00:00,gadispertamamu,Panic dikit tau kamu kejebak longsor dipujon ajgggg pengen langsung tak tlp tapi gengsiku ketinggian
12,2023-02-26 22:55:19+00:00,PT_Transjakarta,"#INFOTRANSJAKARTA | Layanan Mikrotrans JAK-43 : Tongtek - Cililitan. mengalami pengalihan rute dikarenakan adanya tanah longsor di sekitar Jl Tebet Timur Dalam XI, Sementara arah Cililitan tidak melayani bus Stop SMA 37. #JAKI #perlutahu"
13,2023-02-26 22:30:55+00:00,flavioreii,awas aja longsor lu barca
14,2023-02-26 22:27:59+00:00,ganadzkriii,"sekola teh mau hujan, banjir bandang, tanah longsor, angin puting beliung, kiamat sugro tetep aja we upacara"
15,2023-02-26 20:18:33+00:00,ribekkk,gils jam 3 masih sampe mdn grgr puter balik longsor semalem. Gatau deh sampe kantor jam brp ntar🥲
16,2023-02-26 16:39:01+00:00,CeceRisma,Inilah bun dampaknya kalau sebelum berangkat ga buka twitter. Ketinggalan info longsor hadeh. Mana di tengah hutan ga bisa puter balik 🥴
17,2023-02-26 15:30:00+00:00,ngalammenfess,"oyi mohon infonya, kan di pujon lagi ada yang longsor sampai macet total. kira2 kalo kondisi seperti itu biar bisa jalan lagi, gimana ya? nunggunya berapa lama? nuwus"
18,2023-02-26 14:20:31+00:00,Jesxwnd,bogor longsor mulu njir
19,2023-02-26 13:33:11+00:00,gwaca13,"Malam semua..
Buat kalian yang mau kearah Pujon/Ngantang, dll yang melalui jalur payung (yg belok belok) dari arah malang/batu sekitarnya harap berhati hati ya.. karena ada longsor kecil di daerah payung 2/3, dan belum ada tanda peringatan longsor saat ini @infomalang"
20,2023-02-26 13:23:08+00:00,socenemies,ada longsor kah?
21,2023-02-26 13:13:39+00:00,jidatkeseleo,Kayaknya mau beli foundation baru deh yang full coverage biar ga longsor pas gue wisudaan tapi gue bingung mau beli yang mana karena takut claim ga sesuai sama aslinya
22,2023-02-26 13:11:06+00:00,HUTRI17agust45,Semoga tidak ada longsor
23,2023-02-26 09:53:20+00:00,holychicc,"Perasaan kalo liat tutorial makeup gampang banget, klaimnya ga gampang longsor. Tapi kalo praktek kok zonk sih. Bingung, tapi males eksperimen😭"
24,2023-02-26 06:26:40+00:00,walpurg1snight,"Berhubungan dengan orang yang tidak tahu privasi itu musibah.

Hanya soal waktu,hari ini dalam bentuk jalanan yang tidak rata,esok lusa dia longsor tak bersisa."
25,2023-02-26 05:12:01+00:00,kaxura5,rrq siap kena bantai ga nih?!! Siap longsor ke posisi 3/4????????
26,2023-02-26 03:23:06+00:00,Miteuk_1004,"Per hari ini, status tetanggaku ngitung kalau di 2023 baru 12 hari kemasukan cahaya matahari. Sisanya mendung, gelap, mana belakangan hujan terus. 

Semoga tetap sehat, aman. Meski status orang-orang ada yang kena longsor. Ya Allah mohon perlindungan-Mu. Aamiin"
27,2023-02-26 03:01:38+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
28,2023-02-26 00:53:22+00:00,badarawibu,Wih Batu longsor....
29,2023-02-26 00:50:34+00:00,AbuThoriq,Brgsiapa mngumpulkn harta dgn tdk swajarnya(tdk bnr) maka Allah akn mmusnahkannya dgn air(banjir)&amp;tanah(longsor) (HR.AlBaihaqi)   #KhilafahAjaranIslam  .✅. #nAl8v
30,2023-02-26 00:32:48+00:00,tukangnyetir,nunggu $NKN longsor dulu ke 0.1  sebelum masuk.
31,2023-02-25 22:32:05+00:00,PT_Transjakarta,"#INFOTRANSJAKARTA | Layanan Mikrotrans JAK-43 : Tongtek - Cililitan. mengalami pengalihan rute dikarenakan adanya tanah longsor di sekitar Jl Tebet Timur Dalam XI, Sementara arah Cililitan tidak melayani bus Stop SMA 37. #JAKI #perlutahu"
32,2023-02-25 22:11:06+00:00,pusatherbalcom,"Hutan alam memiliki banyak manfaat bagi manusia dan lingkungan di sekitarnya. Mengurangi risiko bencana alam: Hutan alam dapat menyerap air hujan dan menahan tanah, sehingga dapat mengurangi risiko banjir, longsor, dan erosi tanah."
33,2023-02-25 16:22:50+00:00,fcushiguro,jntung ku longsor
34,2023-02-25 11:14:17+00:00,musatenggaratmr,"""Walaupun angin ribut, hujan badai, tanah longsor, bahkan tsunami sekalipun aku tetap mencintaimu""

Kalo Gombal biasa saja, jangan bikin repot Basarnas.

Cinta didukung orang tua ❌
Cinta didukung bencana alam ✔️"
35,2023-02-25 09:40:17+00:00,btsmoots7,Tanah longsor dimana-mana
36,2023-02-25 08:53:29+00:00,usilll,"RT infobmkg: @victorywillyam dan dampak yang dapat ditimbulkannya seperti banjir, tanah longsor, banjir bandang, genangan, angin kencang,pohon tumbang, dan jalan licin dalam satu minggu kedepan. Terima kasih. -fq-"
37,2023-02-25 04:45:05+00:00,Irmatazme,Jadi pengen ke singaraja tapi males jauhnya. Gak ada jalan cepetnya gitu. Naik gunung turun gunung belum kl tanah longsor krn ujan. Hmmm...
38,2023-02-25 03:01:49+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
39,2023-02-24 13:43:00+00:00,dionyshut,Asli takut banget mau diklat dua hari lagi tapi tadi tempatnya kena banjir terus longsor
40,2023-02-24 12:41:03+00:00,Diky_ri,"Di buy malah longsor, disell 
malah terbang, giliran entry 
market kena floating....wkwk

Market tidak senurut itu kawan🙂"
41,2023-02-24 11:59:24+00:00,maacaaci,Orang orang jahat katanya terbuat dari tanah longsor 🤣
42,2023-02-24 11:55:04+00:00,suhjhnny_,"Dek dek. msih kecil udah bisa bikin orang msuk bui, bikin orang longsor dri jabatannya, bikin orang koma......"
43,2023-02-24 04:50:30+00:00,tteokbokkkyu,"Bahan ovt baru, ini w kalau mau bepergian gimana coy kalau jalan utama longsor gitu"
44,2023-02-24 03:01:50+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
45,2023-02-23 21:38:48+00:00,365dtraine_e,Pada gila jual baju thrift kaos biasa ada grafik didepannya 300rb??? 300rb??? Emg itu bahan kaosnya emas?? Kain katun nabi2 kah?? Tahan gempuran meteor tsunami tanah longsor kah?? Ngarti itu vintage tp yg bener aja anjg jan ngadi2 lo pada buset
46,2023-02-23 14:44:07+00:00,Qwentynine,"Banjir gempa longsor
Bot bencana muncul dong"
47,2023-02-23 12:26:22+00:00,babilonia1212,"Duluuu bahagiaaaa banget jalani hari, sekarang longsor beut mager. PADAHALLLL KALAU BOSEN BACA MANHWAAAAAAA TAPI KENAPA GA MENGEBU GEBUUU SEH"
48,2023-02-23 12:06:49+00:00,PUBGAddict_,"BOOM longsor terus nih, kesempatan buat takeover."
49,2023-02-23 08:15:45+00:00,rangerr_putih,Langsung longsor ini mood.. 😔😔
50,2023-02-23 03:01:56+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
51,2023-02-22 15:54:01+00:00,NovenAriansyah,"Jalan hidup setiap orang beda”, tapi kebetulan jalan ku longsor jadi harus nunggu perbaikan dulu biar bisa dilewatin lagi whahah"
52,2023-02-22 11:22:19+00:00,mistergudboi,progress tetap berjalan walau banyak polisi tidur dan tanah longsor dan meteor
53,2023-02-22 09:07:35+00:00,LeviAdha,"Standby on call...
Hujan deras disertai angin kencang sedang berlangsung untuk wilayah kendal atas.
Waspada pohon tumbang dan tanah longsor."
54,2023-02-22 08:53:32+00:00,odnalrebw,Kalo longsor terus kapan aing baliknya  anj...
55,2023-02-22 08:38:21+00:00,0xykzx,Longsor
56,2023-02-22 05:32:58+00:00,EdyPutr401,IHSG longsor brader
57,2023-02-22 04:58:13+00:00,BudakGarut__,Eh longsor lagi
58,2023-02-22 04:36:17+00:00,ev_niv,Kebawa longsor ihsg bjir🥲
59,2023-02-22 03:01:38+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
