,Date,User,Tweet
0,2023-02-27 07:01:02+00:00,makeumellovv,anginnya kenceng bgt jadi keinget scene di upin ipin yg angin puting beliung
1,2023-02-27 04:49:15+00:00,rakkairvanp,"Masuk angin, angin puting beliung"
2,2023-02-27 00:55:35+00:00,halooakumo00k,"demi, keknya org yg rajin sekalipun kalo ngeliat ni ujan geluduk angin puting beliung bakal males pol dah buat berangkat"
3,2023-02-26 22:57:55+00:00,AndiiTamvan,ni mak gw kalo ujan nye bukan puting beliung harus tetep masuk deh ajg
4,2023-02-26 22:27:59+00:00,ganadzkriii,"sekola teh mau hujan, banjir bandang, tanah longsor, angin puting beliung, kiamat sugro tetep aja we upacara"
5,2023-02-26 18:08:44+00:00,irfanasdi,"Ini anginnya serem gak si? Bunyinya kek puting beliung di garuntang, takut kebawa angin aja nih genteng"
6,2023-02-26 17:37:25+00:00,flouerpetal,Ini puting beliung sih fix
7,2023-02-26 14:54:50+00:00,windterheat,loh ternyata beneran puting beliung
8,2023-02-26 13:11:40+00:00,raqillaW,bogor bagian mana nih yang puting beliung?
9,2023-02-26 13:04:37+00:00,Lysnasya,Brooo barusan angin puting beliung 🌪️
10,2023-02-26 12:32:02+00:00,windybiskat,Ini angin kayak puting beliung asli 😭
11,2023-02-26 12:06:04+00:00,yyogagoyy,"Ujannya nanggung"" amat, sekalian aja kek sama petir, badai, angin topan, angin puting beliung, angin duduk, antangin."
12,2023-02-26 08:13:34+00:00,laylowzhr,ganteng amat tuh bocah walaupun rambutnya kek kena angin puting beliung 🤣🤣
13,2023-02-26 08:07:15+00:00,errrlabnisse,"setelah musibah puting beliung kemarin, rasanya kekuasaan Allah sangat besar. rasanya kek mo kiamat astagfirullah"
14,2023-02-26 04:41:37+00:00,yanafareza,Kuatnya angin. Macam puting beliung pon ada
15,2023-02-26 03:22:47+00:00,Ulvatus1,Di banyuwangi angin puting beliung salah satu korban nya orang nikaham. Itu akibat doa mantan tersakiti juga. 🤣🤣🤣🤣
16,2023-02-26 02:25:01+00:00,loffvelyjk,Dari tadi malem WiFi lemot banget gara-gara abis ada angin puting beliung 😭
17,2023-02-25 13:16:32+00:00,cumondays,gue gatau deh kalau di lingkungan gue ada puting beliung tadi soalnya gue tidur pules banget sampai sore
18,2023-02-25 10:48:33+00:00,whicisliterally,JENO TUNGGU BENTAR GUE MAU NONTON UPIN IPIN EP ANGIN PUTING BELIUNG DULU
19,2023-02-25 09:22:39+00:00,ainunhsnad,Allahu Akbar sepanjang jalan karna puting beliung 😢
20,2023-02-25 09:20:01+00:00,unnesmenfess,"-ness saran provider yang sinyalnya ttp bagus buat di gg Cempaka walaupun hujan badai, angin puting beliung, mati lampu, dll"
21,2023-02-25 08:53:29+00:00,usilll,"RT infobmkg: @victorywillyam Masyarakat dihimbau agar tetap waspada dan berhati-hati terhadap potensi cuaca ekstrem (puting beliung, hujan lebat disertai kilat/petir, hujan es, dll)"
22,2023-02-25 04:33:31+00:00,flame13th,"Kejadian alam apa yang paling mengghairahkan?

Puting beliung
( ಠ ͜ʖಠ)"
23,2023-02-25 04:06:50+00:00,WiniA,"Part Vl mujin pakai kipas ,part 1 arthur duduk di kursi kerajaan ,part V Loius ada di bulan,part IV Dann memanah  part lll ivan  ada di gunung salju  hwoon  puting beliung😆❤🤨 selalu tidak lupa semua part mereka"
24,2023-02-24 22:44:40+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
25,2023-02-24 21:54:56+00:00,ohmybeautybank,[bb] spwill kerudung segi empat kalian yang anti badai ujan angin puting beliung dong
26,2023-02-24 12:59:39+00:00,WindiIma,"Kalau kamu diprioritasin, bakalan dikasih kabar walaupun badai angin puting beliung gempa bumi. 😉"
27,2023-02-24 11:49:23+00:00,syedmhdarif_,Tuyut ko puting beliung ?
28,2023-02-24 04:46:51+00:00,dprabukandprd,"Ketika punya pikiran capek &amp; pengen resign, tbtb ada bapak² datang bawa lamaran kerja. Seketika sadar, nyari kerja susah, km disini dipertahankan sudah syukur meski harus melalui badai, puting beliung, halilintar harus banyak² bersyukur"
29,2023-02-24 03:32:56+00:00,__hiSTEEZY,"mo ikut acara kampus, tp ujan sama anginnya kaya anjing. sekalian aja lo kasih puting beliung bangsat"
30,2023-02-24 00:00:31+00:00,faooyy,"Tetep sekolah walaupun diterjang badai, kemarau, puting beliung, tsunami, kecuali kalau kiamat @florallnfading 

Tapi gue gerimis doang tetep ga bakal sekolah sih biasanya"
31,2023-02-23 21:40:23+00:00,SyahmiMuhammad1,Main pusing pusing cam puting beliung pun boleh goal 😮‍💨🌪️
32,2023-02-23 15:58:44+00:00,cloudlyflycia,serem bgt anjir puting beliung 😭😭😭
33,2023-02-23 15:54:36+00:00,dinsaput,udah 4 jam disiksa sama sakit perut dan mencret. rasanya kaya ada puting beliung dlm perut
34,2023-02-23 15:46:34+00:00,vckoffbch,puting beliung cok
35,2023-02-23 15:43:33+00:00,daviyawn,DEMI ALLAH PUTING BELIUNG AJG TAKUT BET
36,2023-02-23 15:37:38+00:00,klaaaarrr,"Enak ye jadi laki, bisa ngelakuin hobby semaunyaaaaaa, ada waktu ga ada waktu, ada kendala ataupun tidak, mo ujan badai puting beliung tidak masalah pokonya wajib hobby harus dijalankan…. Mantap👌🏻"
37,2023-02-23 15:08:54+00:00,Miyamihelohe,"Sebenernya selain koreo njun puting beliung di stronger tu, di lagu lain banyak sih yg seru liatnya, khususnya tuh pas njun gerakin jarinya gitu loh suka banget"
38,2023-02-23 14:48:12+00:00,chauehyn,"capek bgt kepala, isinya kek puting beliung gitu putar-putar trus"
39,2023-02-23 14:00:22+00:00,citrusgeranium,"Sumpahh galau bgt berasa kecoa kejepit di antara puting beliung 🤡 berkali2 nanya ke diri sendiri ""did I make the right choice?"" Sambil menghibut diri ""kalo salah yaudah, it's okay, people made mistake tho,"" tapi tetep aja ga tenang"
40,2023-02-23 12:57:43+00:00,lcuromii,"Anjir Tae kena puting beliung lagi, dah yg dijodohin cwek itu lagi. Apa kgk ada cwek lagi yg dibuat perjodohan??"
41,2023-02-23 12:49:04+00:00,revesyn,Sembang kasi puting beliung
42,2023-02-23 12:10:56+00:00,userbobbys,Hujan badai puting beliung tapi di rumah dia doang bs gak
43,2023-02-23 05:10:21+00:00,istrisahaechann,Angin puting beliung
44,2023-02-23 02:26:19+00:00,gusmarhadi,"Ingatlah bahwa yang membuat orang ngantuk tertidur dan lena itu adalah angin semilir yang datangnya berhembus dengan tiupan sepoi-sepoi. Bukan angin kencang, puting beliung dan badai tornado.

Seperti halnya kerikil kecil membuat orang jatuh bukan batu besar yang teronggok diam"
45,2023-02-22 22:55:28+00:00,junethe20th,louis up reels trs isinya the boys gmn gak kaget dor semburat kachoow baloow puting beliung ta kira reunion anjing
46,2023-02-22 11:33:03+00:00,warmthz00s,"kyny kalo ada hujan badai, angin puting beliung, ujian apapun yg udh dijanjiin sm bu dwi bakal tetep dilaksanain"
47,2023-02-22 09:55:31+00:00,micinkucinta,Lagi mode angin puting beliung
48,2023-02-22 06:07:18+00:00,yoofrnza,bukan masuk angin biasa lagi si ini gua kayaknya udah masuk angin puting beliung
49,2023-02-21 14:52:13+00:00,selcouthife,halo aku baru kembali dari badai puting beliung
50,2023-02-21 14:44:41+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
51,2023-02-21 13:21:08+00:00,ErvinDarwin1,"Orang-orang pada tepuk tangan lantaran pilihan rakyat. Sudah?Besoknya di uji Allah lagi, banjirnya tak viral tapi angin yang ribut. Mulai dari puting beliung sampai topan tornado melanda. Apa kata-nya, ""Saudara-saudara sekalian, jangan panik, kita akan rekayasa cuaca."" #8"
52,2023-02-21 08:33:47+00:00,yulianabhr,"kacau balau kek angin puting beliung di laut lepas, buat ancur"
53,2023-02-21 07:42:21+00:00,rizkibayu_,Masuk angin pisan we angine puting beliung
54,2023-02-20 08:28:50+00:00,dinouraww,"jangan sedih tenang aja badai pasti berlalu setelah itu masih ada banjir, kebakaran, tsunami dan angin puting beliung"
55,2023-02-20 06:22:24+00:00,C_andyRj,"kalo terang anginnya kenceng bgt kek puting beliung, kalo gk terang ujan deres, serba salah tiap mau jemur baju 🥲"
56,2023-02-20 04:43:37+00:00,DelinaMeliora,Puting beliung baru nak reda tp ada benda yg dah terfikir. Penat
57,2023-02-20 04:43:01+00:00,dewizaqa,"Sini maju kalian hujan petir badai puting beliung, setelah 2 hari puanas"
58,2023-02-20 03:41:35+00:00,PLAT_N_KBUPATEN,"Di saat posisi wanita berdiri dan menungging di situlah kedua kaki nya di rapatkan,lalu laki laki nya mulai menusukan jarum bundel nya pelan pelan dari belakang sambil memainkn puting beliung nya dengan kedua tangan nya.Dan terdengar lah desahan kenikmatan tusukan jarum bundel."
59,2023-02-19 16:50:58+00:00,sweetnessbyc,Jujurly nih baru prtma kli w prng sama pens si puting beliung😔🥲
60,2023-02-19 05:09:05+00:00,EIevenEarl,"💌 “ElvEarl V-Day Manito”

to: @sangyesn
 
Anu pak selamat siang! Udah tau siapa saya belum pak? Kayaknya sih gampang ya pak nebak saya, kalo gitu saya kasih clue barangnya aja deh ya dia ada suara dan berputar tapi bukan puting beliung pak🙏🏻"
61,2023-02-18 23:08:03+00:00,bIueberrist,"selamat pagi, habis mimpi melawan angin putingbeliung capek bgt cuy"
62,2023-02-18 17:35:50+00:00,kenbgs,"Adulthood ini rasanya kyk kesedot puting beliung yg entah kapan redanya, alias : AKU MWOBAT MABIT KYK JAS UDAN KALONG SENG WES TELES KENEK JEMBROT SISAN KAKKKKKK HELPPPPPPP"
63,2023-02-18 14:41:14+00:00,_cakerawala_,"Ingat balik rumah boleh jimat, idoklerrr duit keluaw macam puting beliung"
64,2023-02-18 10:39:14+00:00,landraceCon,"Kalau Turki bina banggunan tak ikut spec...

Malaysia jangan cite lah..

Kalau berlaku lah gempa bumi skala 8. Aku tak tau betapa teruk jahanam nya.
Kena angin puting beliung kecik pun linkop abih stadium"
65,2023-02-18 06:44:41+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
66,2023-02-17 02:44:35+00:00,BudihartoBudih2,Tetap semangat giat Patroli respon cepat mendatangi TKP pohon tumbang akibat angin puting beliung.
67,2023-02-16 12:41:07+00:00,emervieler,Bisik gadis itu sambil jemarinya meraba puting beliung wwrrr wrrr
68,2023-02-16 11:54:23+00:00,Andiyusufffff,"angin kencang angin kencang, angin puting beliung kali ah"
69,2023-02-16 09:30:43+00:00,fakeunclee,Mau ujan gempa puting beliung kalo jadwal ku harus tidur siang itu harus
70,2023-02-16 02:28:18+00:00,RRIPrograma3,"Sdng berlangsung dialog bersama Umar Sinampe – Kepala Pelaksana BPBD Kabupaten Barru. Yg membahas tentang “UPDATE BANJIR DAN LONGSOR HINGGA ANGIN PUTING BELIUNG TERJADI DI KABUPATEN BARRU, SULAWESI SELATAN“. Bersama presenter Risty . Dengarkan di 88.8 FM,RRIPlayGo&amp;RRINet   -AJ"
71,2023-02-15 15:17:54+00:00,badutalaskaaa,hujan badai angin ribut halilintar puting beliung banjir badai tsunami kabeh gempa bumi RIBUT RIBUUTTT
72,2023-02-15 14:33:22+00:00,haechanikko,ini fix masuk angin puting beliung
73,2023-02-15 12:56:57+00:00,nfitrin_,"Baru banget sore kena angin puting beliung, udah ada video cinematic nya aja di story wa 🙃"
74,2023-02-15 12:17:40+00:00,heeystupidily,"ya Allah, seumur umur gapernah ada angin puting beliung sedeket ini, untung semua aman"
75,2023-02-15 11:50:32+00:00,mtka,ternyata td tmpat ak ada puting beliung tp aku gatau grgr lg pake headphone 😢
76,2023-02-15 07:24:51+00:00,itsurebf,Semalam tetangga kena puting beliung lebih 10 rumah atapnya ghosting
77,2023-02-15 06:51:02+00:00,Febianarizkii,yaksip depan rumah persis muncul angin puting beliung. jadi bisa liat puting beliung dari dekat wkwk
78,2023-02-14 22:44:38+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
79,2023-02-14 16:12:36+00:00,chellchell_10,"Pov:pijet

M:sakit oy 
Mmh:tahan angin ini
M:angin apa ini putingbeliung?🤧"
80,2023-02-14 15:31:29+00:00,Okta2810_falen,"Puting beliung dalem perut
🤢"
81,2023-02-14 15:10:36+00:00,jourjuillet,AFTER ALL THIS BADAI TOPAN ANGIN PUTING BELIUNG BISMILLAH DULU INSYAA ALLAH 💜🥹🫶🏻
82,2023-02-14 10:55:28+00:00,KediriFess,cah info daerah kras ngadiluwih maeng enek puting beliung to?
83,2023-02-14 09:37:00+00:00,nabilabettavita,cuaca bandung bisa cerah terang benderang ga sih. capek hujan mendung tiap hari. mana angin udah kyk puting beliung. ga ilang2 flu gue gara2 lo pade
84,2023-02-14 08:06:27+00:00,508926,ih serem banget rumah mama ada puting beliung
85,2023-02-14 05:00:37+00:00,masbian_,Ngerokok di smoking area kantor udah kayak kena angin puting beliung
86,2023-02-13 23:15:22+00:00,rangerciiscake,"yok selamat pagi yo, dis is ultramen kece badai tsunami gempa puting beliung
jangan lupa ngevote yo, bilang pagi pagi doang, tapi ingetin vote juga yo, ini gue baru melek yoo langsung cus hp yo, jgnn yari masalah search hater mulu yo, masalahnya kita udh banyak masalah  yo"
87,2023-02-13 18:22:48+00:00,pembasmikecoa,"Muntah te muntah begah kayak ade puting beliung dalam perot, pala mutar mutar, kemaren berak sampe 8x, saket ape ni, tolonggg laaa, jiwa miskin aku meronta ni, jangan saket"
88,2023-02-13 15:33:14+00:00,Mas2JawaBiasa,"Kerokan udah, Minum jamu masuk angin puting beliung tornado udah, bengong kaga jelas juga udah
Wes gek wayahe mapan turu sesok kudu menghadapi edannya dunia tipu² lagi 🥱"
89,2023-02-13 15:15:03+00:00,aiikims,"Gw keren bgt deh udah berapa kali kena hujan, diterpa badai, puting beliung, tapi ga flu demam. Tapi lebih ke pusing mual dan 5L Lesu Lemah Letih Lelah Lunglai~"
90,2023-02-13 13:50:33+00:00,yourayang12,bakalan ada pelangi setelah badai hujan puting beliung ini kan Ya Allah?
91,2023-02-13 13:19:01+00:00,ninditautamii,Hah ini tetangga desa kena angin puting beliung? Pantesan anginnya serem banget tadi sore😭
92,2023-02-13 08:44:30+00:00,UDUNZFMAS,mantap akibat angin puting beliung asbes rumah saya terbaaang
93,2023-02-13 07:57:08+00:00,salmonarctic,puting beliung 🥶
94,2023-02-13 04:07:38+00:00,solpesol,"Angin di margonda kenapa kaya puting beliung sih, kenceng banget 😭😭"
95,2023-02-13 04:07:16+00:00,alyakim_16,Sumpah hujan dari subuh terus anginnya kenceng bgt kayak puting beliung 🌫️🌬️🌪️🌧️🌧️🌧️
96,2023-02-13 03:10:24+00:00,cityreuv,Guru mtk walau hujan badai banjir puting beliung tetap masuk
97,2023-02-12 23:49:48+00:00,4evertbz_,"Buset dah dari subuh hujan,nambah petir lagi😳
Yang bikin takut kenapa bunyi anginnya kenceng kek puting beliung sih????😭😭"
98,2023-02-12 22:54:14+00:00,syukajeghiang,"Kan kan kan, gitu kan, giliran aing yg butuh kagak ada tuh yg fast respon secepat kilat badai angin puting beliung. skalinya fast respon malah belom digarap Halah pasrah kye Tah😊"
99,2023-02-12 13:43:38+00:00,RitaSunart76,Emang si kumis si jenggot si bule si una anu bisaeun teh ngamuk bumi berguncang. Kesel puting beliung. Bacot guludug. Prettttt
100,2023-02-12 07:07:12+00:00,rindouhaaitani,masa kata mak gue semalem ada angin puting beliung 😃 kok gue ga ngerasa
101,2023-02-12 06:46:53+00:00,gogonimi,angin puting beliung jadi buah ternyata angin puting belimbing
102,2023-02-12 05:42:32+00:00,nakiyasdf,YAALLAH PUTING BELIUNG WOY😭
103,2023-02-12 02:00:48+00:00,rizkinabcdelf,"Saking derasnya angin tadi malam, sampe mimpi api di mana-mana, angin puting beliung di mana-mana, sampe ledakan-ledakan.
Sampe lagi gendong F, teriak ""astaghfirullah, ini sih kiamat.""
Terus bangun-bangun masih kaget, ternyata masih hidup."
104,2023-02-11 15:55:43+00:00,mhid2512,Keikhlasan jauh lebih penting dari keteladanan. Dan menjadi teladan biasanya cendrung seperti angin puting beliung ketika centrum pusaran tidak sedang dalam orbit yg sesui.
105,2023-02-11 14:44:41+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
106,2023-02-11 12:07:25+00:00,hazirahamdan_,"Bila mahira takde rindu, bila dia ada nak dia balik cepat sebab rumah macam kena landa puting beliung"
107,2023-02-11 08:25:54+00:00,clovdy00_,"Byl yg idolnya diterjang badai, hujan deras, angin topan, dan puting beliung masih kokoh berdiri. Ini cuma kena tiup mulut bayi langsung kecewa bahkan ‘close’. Ck ck ck mental yupi 🌝🌝"
108,2023-02-11 06:36:56+00:00,apomon_,"Gue harap apo kayak mile. Ada ujan halilintar, angin puting beliung, gempa bumi pun dia tetep genjreng gitar alias gak peduli sama apapun yg terjadi. 

Kalopun dibelakang ada yang nyuruh (krn biasanya po dijadiin damage control) gue ttp marah krn po gak mau nolak."
109,2023-02-11 05:09:59+00:00,Catatan_ali7,"Kenapa Dinamakan ANGIN PUTING BELIUNG ? 

Padahal kan Gak ada Puting nya 🙄"
110,2023-02-11 02:16:56+00:00,RRIPrograma3,"Sedang berlangsung dialog bersama Wijonardi– Kepala Pelaksana Badan Penanggulangan Bencana (BPBD) Kabupaten Cilacap. Yg membahas tentang “RATUSAN BANGUNAN RUSAK AKIBAT ANGIN PUTING BELIUNG YANG MELANDA CILACAP “. dipandu oleh Amira . Dengarkan di 88.8 FM,RRIPlayGo&amp;RRINet 

-AJ"
