,Date,User,Tweet
0,2023-02-27 07:47:25+00:00,nastitikp,UDAH GAK SABAR TSUNAMI THROPY
1,2023-02-27 07:46:16+00:00,mshdbhtr,Hallo @infoBMKG apakah ada tsunami trofi musim ini ? @ManUtd
2,2023-02-27 07:38:50+00:00,gunard___,Sedih bgt gasi jas ujan baru beli baru sekali beli dicolong anj! Semoga malingnya kena tsunami
3,2023-02-27 07:20:49+00:00,hyukalt,temen w klo cerita drama bgt gak kuat. cerita tj nya nerobos genangan air udah kayak ada tsunami T_____T
4,2023-02-27 07:11:06+00:00,rnoviantoro,"Banjiirr, badai,tsunami tropii caming soon"
5,2023-02-27 06:52:11+00:00,uinwsfess,Ws! Tsunami trofi ni senggol dong
6,2023-02-27 06:14:47+00:00,Sammymarvin,"Bandung hujan terus uy, tanda-tanda mau ada tsunami trofi."
7,2023-02-27 06:13:57+00:00,Notsuperjia,"Tsunami itu mulai nyata!!!!!!

..."
8,2023-02-27 06:06:57+00:00,gayuhhw,"Air sudah mulai pasang Sersan, bersiap untuk tsunami trophy!"
9,2023-02-27 05:44:22+00:00,sinarjonan,"sombong banget baru gitu doang dibilang tsunami trofi. malesin deh, dulu wkt masih jd fans emyu banyak masalahnya, dibully temen. sekarang pindah ke klub tetangga yg lebih menarik &amp; materinya bagus"" juga ada aja masalahnya dan sekarang eh mereka juga malah naik daun."
10,2023-02-27 05:41:55+00:00,sugarhnybee,Anjg pr kek ngadepin guyuran tsunami 🌊
11,2023-02-27 05:39:25+00:00,agembiraria,Anginnya kenceng gara2 tsunami trofi King MU.
12,2023-02-27 05:31:43+00:00,Billyarmendo,"Congratss MU dapet piala Pocari Sweet, awal menuju tsunami tropi kah?"
13,2023-02-27 05:21:43+00:00,dadanfirdaus_,"Mantep juga emg MU eth baru ngasih piala ketiga langsung segala sisi di bahas keren dah 

Tsunami trofi 

Ha"
14,2023-02-27 04:59:26+00:00,ferylubis,Kok ada yang bilang tsunami trophy 😅
15,2023-02-27 04:49:05+00:00,billtupuy,Min apakah ada info potensi Tsunami Tropi buat emyu? @infoBMKG @ManUtd_ID
16,2023-02-27 04:42:06+00:00,ZainQin_,"Hati-hati Tsunami tropi segera terjadi.
🟥🟥🟥
⬜⬜⬜
⬛⬛⬛
#GGMU"
17,2023-02-27 04:39:54+00:00,riqnafll,assalamualaikum tsunami tropi
18,2023-02-27 03:46:20+00:00,deaderini_,"Pas buka tranding, ada tsunami
Buru2 lgsg cek bmkg, tapi ko ga ada info apa2 ttg tsunami
Pas gue liat2 lagi, eh ternyata tsunami gelar buat MU, wkwk
Udah buka puasa ya akhirnya 🤣🤣🤣"
19,2023-02-27 03:40:30+00:00,PuisiSex,pernahkah wilayah indonesia mengalami tsunami kapan
20,2023-02-27 03:40:00+00:00,SarahManda161,Tranding Tsunami kukira bencana ternyata eh ternyata
21,2023-02-27 03:32:40+00:00,perdana_famul,.@infoBMKG Min apakah benar akan terjadi tsunami trofi di sekitaran bundaran manchester ?
22,2023-02-27 03:26:58+00:00,dykaprast2,Nonton trending kaget kok enek tsunami jebul tsunami tropi bangkeee
23,2023-02-27 03:13:10+00:00,arga_adiputra,Anjing tranding Topix tsunami gw kira apaan ternyata MU abis menang Cok haha
24,2023-02-27 03:05:32+00:00,exniawme,Tsunami bigwin akankah terjadi?
25,2023-02-27 03:01:57+00:00,meteosphere,"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor."
26,2023-02-27 02:53:55+00:00,AlterEgo_IDN,Sabar ga sih nunggu King AE tsunami trofi? ☝️🥹
27,2023-02-27 02:50:48+00:00,hrdbacot,Seamat pagi sobat tsunami trofi.
28,2023-02-27 02:49:34+00:00,wahyusansusan,Fans emyu lagi lebaran setelah puasa kurang lebih selama 6 tahun. Selamat fans emyu! Tanda2 tsunami trophy kh?
29,2023-02-27 02:47:31+00:00,meooonx,Ini di trending tu tsunami apasi anjir kok tsunami trhopy???
30,2023-02-27 02:41:17+00:00,2rizkyaditya,"tanda tanda terjadinya tsunami sebagai berikut :

1. air pantai surut secara tiba-tiba 
2. terdapat suara gemuruh dari laut
3. terjadi gempa berkekuatan
besar di laut
4. munculnya gelombang besar yang tidak biasa"
31,2023-02-27 02:35:52+00:00,bayuputranto19,"sabar ya pens celsi, ini tanda2 mau, meminjam istilah pen emyu, tsunami trofi. Tsunami itu tandanya pantainya surut dulu. :D"
32,2023-02-27 02:35:19+00:00,dewanggaaputra,"Dini hari tadi berhasil meraih trofi setelah puasa gelar selama ±6 tahun. Sisa 3 trofi yg (masih) bisa diraih. Kebayang gk kalo beneran dpt 4 trofi semua thn ini? Trending twitter 7 hari 7 malam, akun2 bola bakal bahas terus &amp; banjir tsunami trofi is real. King Emyu is back 🤣🤣"
33,2023-02-27 02:28:11+00:00,just4funaway,mulai ada tanda tanda tsunami trophy nih
34,2023-02-27 02:27:54+00:00,Noeraniiii,Kontttlll tsunami tsunami w kira ada tsunami beneran.. ternyata fans karbitan yg kebelet party lagi auforia bersama.
35,2023-02-27 02:20:50+00:00,BangFuad_,"Buka ig, buka tiktok munculnya, "" dan apabila bersamamu "" , lama-lama terkomang komeng nih ~ #Tsunami #Agnes #komang"
36,2023-02-27 02:15:26+00:00,dietpuasa,"Tsunami gula

Jumlah gula yang beredar dalam darah sekitar 4gr. Ketika makanan masuk, ibarat ada tsunami glukosa.

Glukosa itu bahan bakar sel. Jika berlebih bisa ""membakar"" organ tubuh.

Tapi pankreas segera mengeluarkan insulin untuk meredakan tsunami itu agar kembali normal."
37,2023-02-27 01:55:24+00:00,walfarobbi,Seamat abang-abang atas air bah trophy nya. Semoga tsunami segera menyusul🙏🏼🙏🏼 @billywidjaya_ @rafifaqilaa @mrdimadnan
38,2023-02-27 01:53:53+00:00,fakefolk_,"baru satu udh tsunami tropi tsunami tropi, matamuu"
39,2023-02-27 01:43:18+00:00,Guthwiene,"diksi tsunami tropy kek ngebuktiin betapa angkuhnya fans tsb, padahal udah berapa tahun trophy less itu 🤣"
40,2023-02-27 01:27:57+00:00,YoriversFAMS_,"aku gak perlu ramalan cuaca BMKG walaupun mau ada ujan,badai,tsunami. aku akan tetap pertahaan cinta aku demi kamu Teens_Yori"
41,2023-02-27 01:26:17+00:00,ZidanneMaulana,"Emyu juara Piala Kerbau kapan Ferrari Tsunami trofi sama Fred Vasseur dan kapan Leclerc dan Sainz mau Jurdun?
Kita tunggu musim 2023"
42,2023-02-27 01:19:42+00:00,efand_aipenawi,"#GGMU 
Benar2 bakal tsunami tropi nih 🤣"
