text,label
ini bukan masalah takut atau engga takut ini masalah penularan virusnya yg mudah terjadi apalagi kalau ada kumpulan orang banyak kalau anda masih anggap ini konspirasi silakan bisa baca berita ttg super spreader di korsel yg kelakuannya sama kyk anda,0
" Gempa Mag:3.5, 03-Jan-21 07:54:22 WIB, Lok:2.46 LS, 140.33 BT (Pusat gempa berada di darat 78km TimurLaut Kab. Jayapura), Kedlmn:13 Km Dirasakan (MMI) II Jayapura BMKG ",1
aku kalo jadi jokowi pusing sih kek udah lah gamau sakit kepala saya saya mundur aja dari corona gempa banjir dll kek semua di luar ekspektasi banget pengen liburan kasian dikit,0
Awanpanas guguran Gunung Merapi terjadi pada tanggal 26 Juni 2019 pukul 06:05 WIB. Awanpanas guguran tercatat di seismogram dengan amplitudo 60 mm dan durasi 136 detik. Jarak luncur 1350 m ke arah hulu Kali Gendol. statuswaspada sejak 21 Mei 2018,1
"Info Gempa Magnitudo:6.2 SR, 01-Sep-17 00:06:54 WIB, Lok:1.30 LS,99.66 BT (80 km TimurLaut KEP-MENTAWAI-SUMBAR), Kedlmn:10 Km ::BMKG ",1
Rekaman awanpanas guguran tanggal 18 Jan 2021 pukul 05.43 WIB dari CCTV Tunggularum,1
tidak mudik adalah cara paling bijaksana untuk melindungi keluarga di kampung dengan bersabar menahan rindu di perantauan kita telah mengambil peran dalam memutus rantai penyebaran virus covid 19 kita tidak mudik karena kita sayang kepada keluarga 2 2,0
" Gempa Mag:4.7, 12-Feb-21 12:05:11 WIB, Lok:9.01 LS, 111.33 BT (Pusat gempa berada di laut 94 km Tenggara Pacitan), Kedlmn:16 Km Dirasakan (MMI) II Karangkates, II Pacitan BMKG ",1
" Gempa Dirasakan Magnitudo: 4.7, Kedalaman: 32 km, 22 Mei 2021 22:47:21 WIB, Koordinat: 8.10 LS-107.17 BT (Pusat gempa berada di laut 126 km Barat Daya Kabupaten Bandung), Dirasakan (MMI): II-III Cimaung BMKG ",1
" Gempa Mag:6.4, 07-Jan-21 03:59:37 WIB, Lok:0.10 LS,123.05 BT (71 km BaratDaya BONEBOLANGO-GORONTALO), Kedalaman:131 Km, tidak berpotensi tsunami BMKG",1
"Info Gempa dirasakan mag:6.2, lokasi:Pusat gempa berada di laut 57 km Tenggara Blitar, waktu:21-Mei-21 19:09:23 WIB, kedlmn:110 Km, gempa ini dirasakan(MMI):V Blitar, IV Karangkates, IV Sawahan, IV Nganjuk, IV Lumajang, IV Tulungagung, IV Malang, III Banyuwangi, III Pasuruan, III ",1
" Gempa Mag:5.1, 29-Nov-20 21:48:28 WIB, Lok:4.97 LS,102.93 BT (50 km BaratDaya KAUR-BENGKULU), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:3.6, 26-Mei-21 20:31:42 WIB, Lok:2.55 LS, 121.88 BT (Pusat gempa berada di darat, 10 km Barat Bungku (Kab. Morowali)), Kedlmn:11 Km Dirasakan (MMI) III Morowali BMKG ",1
"Sedikitnya ada 10 desa di enam kecamatan di Kabupaten Landak, Kalimantan Barat terdampak banjir pada Sabtu (5/9) sejak pukul 15.00 WIB. Selengkapnya : InfoBencanaBNPB ",1
intinya adalah desolasi juga merupakan rahmat karena dgn kekeringan rohani kita dapat semakin mendekatkan diri pada tuhan membuka diri untuk mencari lagi berkat2 terselubung yg selama ini mungkin kita lewatkan gitu sih maafkan nek bahasanya terlalu suci ya,0
" Gempa Mag:5.1, 06-Mei-21 01:13:33 WIB, Lok:0.11 LS, 123.04 BT (Pusat gempa berada di laut 73 km Selatan Gorontalo), Kedlmn:102 Km Dirasakan (MMI) III Gorontalo, III Luwuk, II - III Gorontalo Utara, II Limboto BMKG ",1
