label,text
0,bener jumat berkah malem ketemu malem ujansemoga ga banjir ya allah
0,bencana geologi gempabumi tsunami letus gunung rap tanah longsor
0,liverpool tsunami cidera nama
0,kemaren pas nerjang banjir ban motor liatin orang orang dlm hati gila ni cewe
1,gempa
0,knapa cewe kalo vidioan bari jedag jedug joged kudu ngegel calangap gegel calangap sungutna teh sungut sia longsor maha samaruk hade kampring
0,paksa kerja tau kalo irt serah kerja ato rumah yg inti beres rumah jaga anak knpa suru paksa kerja
0,hujaaan deress bgt aaakk moga ga banjir gue
0,bin distribusi bantu korban gempa
0,untung ujan ngilangin debu erupsi
0,gempa tsunami gunung letus banjir longsor bencana batas gejala alam ingat tegur cipta milik alam semesta mari introspeksi
0,chico syabda anak non pelatnas jalanjalan museum tsunami aceh pantai lampuuk titik nol km ga nih kangen ken kesana
0,org laen kalo pinga bbm hpny yg geter kalo yg ping cinta yan geter kaya gempa bumi teens yori
0,moga erupsi gunung meru lekas baik
0,anggar sepakbola kalo yg dah tsunami trofi
0,kalo kohend lg error babah ttp gacor nya longsor bgt busettt kesel dikit td banyak sedih sih
0,longsor bae
0,gempa gw puyeng ya
0,ya allah gempa
1,gempa mulu dahh
0,atbo bene nya ngalir ya kek tsunami
0,gak postingan korban gempa ga tl gak kuat
0,nang liat foto salah korban erupsi gunung meru ya allah moga korban yg dampak lindung
0,gempa tohoku jepang ga rusa bangun amp rumah hancur sapu tsunami perintah indonesia ga ajar kesana ya bikin atur bangun tahan gempa ga gedung aja
0,terima kasih tolong saat terjeglong air banjir terima kasih anak anak tuntun motor moga baik balas maha kuasa
1,ko ga susanti pulkam angin puting beliung
0,sedih sakit cinta indah banjir air mata
0,korban banjir korban longsor korban janji evakuasi
0,stay safe yg bogor ya lg banjir sm longsor sana
0,crypto tahun kena x tsunami cz nga
0,gempa bumi turkiyesyria turkiye syria mati takat
1,wawancara kepala bidang darurat logistik bpbd kabupaten mojokerto joko supangkat kait update kondisi warga pasca angin puting beliung mojokerto lengkap fm pro rri amd
0,jayapura gempa jayapura
1,gw suka ujan klo ga bikin banjir atap rumah ga bocor
