label,text
1,gempa mag pusat gempa laut km barat daya kabkupang kedlmn km rasa mmi iiiii kota kupang bmkg
0,idha nama milik usaha yg bikin banjir video sexy killer
0,web kritik film danieldokter tariz aryaapepe rasyidharry rutin baca channel cinecrib sumatranbigfoot kadang review tentang tarik telaah dmn tentang
0,jelas fpi ganti nama front satu islam
1,gempa mag oct wib lok lu bt km tenggara buolsulteng kedlmn km tdk potensi tsunami bmkg
1,gempa mag okt wib lok ls bt pusat gempa darat km barat laut tomado kedlmn km rasa mmi iii lawi bmkg
1,gempa mag des wib lok ls bt pusat gempa laut km timur laut waibakul kedlmn km rasa mmi iiiiv waingapu iiiiv tambaloka iii bima bmkg
0,kaya gara gara pandemi bijak psbb himbauan diam rumah gejolak dikit aja orang orang langsung parno mah s gejolak kaya gitu gempa pokok stay safe waras ya
0,bhabinkamtibmas desa pengeragoan polsek kutat polres jembrana aman lokasi bersih tanah longsor
0,ketua komisi dakwah mui amar ma ruf nahi munkar langgar hukum
0,kapal selam andal angkat laut serang lawan versi kapal selam anggap mati keri
0,tikus ukur bikin ngeri nih detikers tikus rumah ukur super makan hidup hidup elang laut tristan dewasa tikus tuh
1,banjir kota kalong jawa februari pkl wib kronologis akibat hujan intensitas sore lokasi lurah tirto kec kalong barat kota kalong dampak ungsi orang banjir bpbd
1,gempa mag nov wib lok ls bt pusat gempa darat km baratdaya kab kupang kedlmn km rasa mmi ii kupang bmkg
1,sungai luap jiwa dampak banjir gorontalo bencana banjir rendam ratus
0,kepala biro humas menteri sosial hasim benar salah satu cair mei bantu sosial tunai program bst rencana jalan januari april bantuansosialtunai kemensos
1,awanpanas gugur gunung rapi tanggal september wib awanpanas gugur catat seismogram amplitudo max mm durasi detik awanpanas pantau visual cuaca kabut statuswaspada mei
1,axa mandiri empat masyarakat timpa musibah banjir bandang landa sentani jayapura kuat tabah tuhan keluarga yg tinggal
0,krisis sehat ekonomi akibat pandemi covid momentum benah komprehensif bangun tata kelola perintah cepat produktif efisien akuntabel bebas korupsi
0,beneran banjir orang tah bal
0,alas ny bencana alam suara dentum erupsi wabah gempa dll eling lan waspodo dentum erupsi gempa takdir indonesia amp peran akhirjaman nubuwahku
