text,label
" Gempa Mag:4.8, 05/01/2021 18:56:21 (Pusat gempa di laut 42 km Barat Daya Kab-Kupang), Kedlmn:10 Km Dirasakan (MMI) II-III Kota Kupang, BMKG",1
idha nama pemilik perusahaan yg bikin banjir ada semua di video sexy killer,0
web kritik film danieldokter tariz aryaapepe rasyidharry rutin saya baca juga channel cinecrib dan sumatranbigfoot kadang review mereka bertentangan dan menarik menelaah dmn pertentangannya kan,0
penjelasan fpi ganti nama jadi front persatuan islam,0
" Gempa Mag:5.0, 26-Oct-20 15:26:37 WIB, Lok:0.59 LU,121.48 BT (44 km Tenggara BUOL-SULTENG), Kedlmn:62 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:4.4, 21-Okt-20 07:30:32 WIB, Lok:1.31 LS, 120.01 BT (Pusat gempa berada di darat 5 km Barat Laut Tomado), Kedlmn:10 Km Dirasakan (MMI) III Kulawi BMKG ",1
" Gempa Mag:5.3, 25-Des-20 18:40:12 WIB, Lok:9.19 LS, 119.75 BT (Pusat gempa berada di Laut 50 km Timur Laut Waibakul), Kedlmn:10 Km Dirasakan (MMI) III-IV Waingapu, III-IV Tambaloka, III Bima BMKG ",1
kayanya gara gara kita di tengah tengah pandemi terus ada kebijakan psbb dan himbauan untuk diam dirumah ada gejolak dikit aja orang orang langsung parno padahal mah tiap hari juga ada s gejolak kaya gitu misal gempa tiap hari ada itu pokoknya stay safe dan tetap waras ya,0
bhabinkamtibmas desa pengeragoan polsek pekutatan polres jembrana mengamankan lokasi pembersihan tanah longsor,0
ketua komisi dakwah mui amar ma ruf nahi munkar tidak boleh langgar hukum,0
kapal selam menjadi andalan angkatan laut untuk menyerang lawan terdapat beberapa versi mengenai kapal selam yang dianggap paling mematikan atau mengerikan berikut beberapa di antaranya,0
tikus berukuran kecil saja sudah bikin ngeri nah ini nih detikers ada tikus rumahan berukuran super yang memakan hidup hidup elang laut tristan dewasa tikus apa tuh,0
"Banjir di Kota Pekalongan, Jawa Tengah, 7 Februari 2020 Pkl. 20.00 WIB. Kronologis: Akibat Hujan dengan intensitas tinggi sejak sore Lokasi: kelurahan Tirto, Kec. Pekalongan Barat, Kota Pekalongan. Dampak terdapat pengungsi sebanyak 267 orang. banjir bpbd ",1
" Gempa Mag:2.1, 12-Nov-20 14:54:30 WIB, Lok:10.21 LS, 123.61 BT (Pusat gempa berada di darat 39km BaratDaya Kab. Kupang), Kedlmn:10 Km Dirasakan (MMI) II Kupang BMKG ",1
"SUNGAI MELUAP, 2.474 JIWA TERDAMPAK BANJIR DI GORONTALO Bencana banjir kembali merendam ratusan? ",1
kepala biro humas kementerian sosial hasim membenarkan bahwa salah satunya tidak cair bulan mei yaitu bantuan sosial tunai dia menjelaskan program bst direncanakan hanya berjalan dari januari sampai bulan april 2021 bantuansosialtunai kemensos,0
Terjadi awanpanas guguran Gunung Merapi pada tanggal 14 September 2019 pukul 15:30 WIB. Awanpanas guguran tercatat di seismogram dengan amplitudo max. 70 mm dan durasi ?101.8 detik. Awanpanas tidak terpantau secara visual karena cuaca berkabut. statuswaspada sejak 21 Mei 2018,1
axa mandiri turut berempati bagi masyarakat yang tertimpa musibah banjir bandang yang melanda sentani jayapura kekuatan dan ketabahan dari tuhan diberikan bagi para keluarga yg ditinggalkan,1
krisis kesehatan dan ekonomi akibat pandemi covid 19 ini jadi momentum tepat untuk kita berbenah secara komprehensif kita bangun tata kelola pemerintahan yang baik cepat produktif efisien dan di saat yang sama juga harus akuntabel dan bebas dari korupsi,0
beneran banjir orang tah sekarang di bali,0
ini alasan banyak ny terjadi bencana alam suara dentuman erupsi wabah gempa dll eling lan waspodo dentuman erupsi gempa takdir indonesia amp perannya di akhirjaman nubuwahku lewat,0
menelusuri penyebar pertama video pribadi gisella anastasia,0
rumah ini jadi saksi bisu penyiksaan dan pemerkosaan 3 gadis oleh seorang pria maniak seks bdsm selama 10 tahun,0
saat corona saat gempa saat banjir itu beda2 aturannya saat cina datang juga beda,0
" Gempa Magnitudo: 5.3, Kedalaman: 10 km, 30 Apr 2021 23:43:28 WIB, Koordinat: 5.14 LU-94.46 BT (106 km BaratDaya BANDAACEH-ACEH), Tidak berpotensi tsunami BMKG ",1
then i found this yg jadi masalah bmkg juga gak update apapun biasanya gempa 2 sr pun ada updatenya ini dentuman getaran di depok pamulang jaksel kedengaran berkali kali,0
busana yang saya kenakan di upacara hari ini berasal kabupaten timor tengah selatan ntt kain tenun bermotif berantai kaif nunkolo warna merah perlambang keberanian dan tas sirih pinang tersampir makan sirih pinang adalah budaya persatuan juga lambang kasih dan hormat,0
memang bukan gempa tetapi gunung meletus,0
"Info Gempa Magnitudo:5.2 SR, 19-Mar-18 18:36:25 WIB, Lok:7.40 LS,105.95 BT (98 km BaratDaya LEBAK-BANTEN), Kedlmn:10 Km ::BMKG",1
" Gempa Mag:5.4, 28-Dec-20 14:31:10 WIB, Lok:0.24 LS,124.57 BT (94 km Tenggara BOLAANGUKI-BOLSEL-SULUT), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:4.6, 19-Mar-21 23:33:17 WIB, Lok:7.83 LS, 118.78 BT (Pusat gempa berada di laut 68 km TimurLaut Bima), Kedlmn:26 Km Dirasakan (MMI) III Bima, III Dompu, II - III Sumbawa Besar BMKG ",1
" Gempa Mag:3.2, 25-Nov-20 12:54:18 WIB, Lok:0.75 LS, 127.66 BT (Pusat gempa berada di darat 22 km Tenggara Labuha), Kedlmn:10 Km Dirasakan (MMI) II Labuha BMKG ",1
innalillahi wa inna ilaihi rajiun duka cita yang mendalam atas berpulangnya ke hadirat allah swt bapak jenderal tni purn pramono edhie wibowo kemarin di usia 65 tahun semoga arwah almarhum diberi tempat terbaik di sisinya dan keluarga yang ditinggalkan diberikan kesabaran,0
" Gempa Mag:5.1, 07-Nov-20 06:41:48 WIB, Lok:1.98 LS,119.33 BT (21 km BaratLaut MAMUJUTENGAH-SULBAR), Kedlmn:10 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:5.1, 15-Feb-21 11:57:14 WIB, Lok:1.04 LU,98.75 BT (68 km BaratDaya PADANGSIDEMPUAN-SUMUT), Kedlmn:36 Km, tdk berpotensi tsunami BMKG ",1
kalau tak mcm gempa bumi je,0
pembatasan akses dan kapasitas di puncak bogor,0
berakhir sudah gelaran mpl id season 7 evos legends berhasil mengalahkan bigetron alpha dan menjadi juara mobile legends professional league season 7 selamat,0
" Gempa Mag:5.0, 27-Mar-21 15:46:41 WIB, Lok:2.44 LU,98.96 BT (12 km BaratLaut TOBASAMOSIR-SUMUT), Kedlmn:142 Km, tdk berpotensi tsunami BMKG ",1
" Gempa Mag:5.3, 22-Nov-20 18:27:28 WIB, Lok:2.43 LS, 127.53 BT (Pusat gempa berada di Laut 101 km Barat Laut Piru), Kedlmn:10 Km Dirasakan (MMI) III Piru, III Namlea, II Ambon BMKG ",1
polisi menangkap pria di tenjolaya bogor yang menodongkan senjata ke seorang kurir polisi juga menyita barang bukti satu senjata airsoft gun,0
 Terjadi awanpanas guguran G Merapi tanggal 18 Jan 2021 pukul 05.43 WIB. Awanpanas tercatat di seismogram dgn amplitudo 22 mm &amp; durasi 112 detik. Jarak luncur ?1000 meter ke arah Barat daya ( K Krasak ) Teramati tinggi kolom 50 meter di atas puncak. Angin bertiup ke tenggara.,1
" Gempa Mag:3.7, 04-Des-20 21:38:57 WIB, Lok:0.62 LU, 120.39 BT (Pusat gempa berada di darat 16 km utara Parigi Moutong), Kedlmn:10 Km Dirasakan (MMI) III Parigi Moutong BMKG ",1
bekerja dengan risiko tinggi tentunya membutuhkan keamanan yang tinggi pula baik untuk lingkungan kerja maupun untuk pekerja,0
" Gempa Mag:3.1, 08/01/2021 17:20:31 (Pusat gempa di darat 4 km Tenggara Lombok Utara), Kedlmn:10 Km Dirasakan (MMI) III Lombok Utara, BMKG",1
" Gempa Mag:4.8, 26/12/2020 20:42:53 (Pusat gempa di laut 58 km Tenggara Sumbawa Barat), Kedlmn:10 Km Dirasakan (MMI) III Sumbawa, III Sumbawa Barat, III Lombok Tengah, III Lombok Utara, III Lombok Timur, III Lombok Barat, III Karangasem, II Kuta Selatan, BMKG",1
maka produser melihat yowis ben tertawa tawa dgn menbaca subtitle ia kemudian memastikan subtitle keluar dgn presisi film masih fokus untuk pasar jawa timur poster pun siap dirilis tapi kemudian joshua kena cobaan yowis ben film kecil itu makin terasa kecil lagi,0
berikut jumlah kasus covid 19 di jatim diy bali ntt ntb kalbar dan kalsel per 2 mei 2021,0
" Banjir di Kab. Cirebon, Prov. Jawa Barat. - 283 jiwa mengungsi - 1.744 KK/ 3.512 Jiwa terdampak Kerugian Material : - 508 unit rumah terendam - TMA 30 - 150 Cm PusdalopsBNPB ?? ",1
ramadan tahun ini kita lalui dalam keterbatasan bukan hanya ruang gerak rindu pun ditahan tapi kita tidak sendirian tetaplah mematuhi anjuran tentang kesehatan dengan solidaritas dan kedisiplinan pandemi ini akan kita lalui dan kita kembali bertemu orang orang tersayang,0
jevon bennet gt gt all,0
" Gempa Mag:4.7, 15-Jan-21 21:17:03 WIB, Lok:8.48 LS, 108.66 BT (Pusat gempa berada di laut 88 km Tenggara Kab. Pangandaran), Kedlmn:57 Km Dirasakan (MMI) III Pangandaran, III Tasikmalaya, III Cisompet, II Ciamis, II Banjar, II Garut BMKG ",1
udah ada hal kaya gini aja hadist dan dalil kalian semua pada keluar tanpa tau dasar dan hanya tau dari google udah berasa ilmunya paling tinggi dentuman gempa,0
"5. Informasi yang tersebar tersebut juga bukan merupakan prediksi gempa yang akan terjadi dalam waktu dekat, karena hingga saat ini belum ada satu pun teknologi di dunia yang mampu memprediksi dengan tepat dan akurat kapan, dimana, dan berapa besar kekuatan gempa akan terjadi.",1
" Gempa Mag:4.8, 24-Mar-21 13:44:27 WIB, Lok:5.25 LS, 94.41 BT (Pusat gempa berada di laut 123 km Barat Daya Kota Sabang), Kedlmn:10 Km Dirasakan (MMI) II-III Banda Aceh BMKG ",1
ya allah lindungi kami dari segala marabahaya seperti gunung meletus gempa bumi dan wabah penyakit amin,0
" Potensi bahaya saat ini berupa awanpanas dari runtuhnya kubah lava dan lontaran material vulkanik dari letusan eksplosif. ?  Rekomendasi jarak bahaya 3 km dari puncak. Di luar radius tsb, masyarakat dapat beraktivitas seperti biasa. ? ? statuswaspada sejak 21 Mei 2018?",1
nanti jevon gini jadi kalo kasih nama,0
" Gempa Mag:5.0, 14-Nov-20 22:32:30 WIB, Lok:6.74 LS,105.14 BT (49 km BaratDaya SUMUR-BANTEN), Kedalaman:10 Km, tidak berpotensi tsunami BMKG",1
